"group","KRT6A","SPRR1A","SPRR1B","KRT5","SPRR3","SFTA3","SFTA2","S100A7","NTS","DSG3","KRT14","DSC3","SERPINB3","GJB6","KRT17","SERPINB13","KRT6B","AKR1B10","PI3","SERPINB4","KRT13","GPR87","DAPL1","NAPSA","ADH7","CLCA2","SPINK1","AGR3","UPK1B","TOX3","LOC344887","FOLR1","FOXE1","C16orf89","S100A2","KRT15","MMP10","SERPINB2","KRT16","TRIM29","BNC1","SLC34A2","SFTPB","CYP4F3","PTPRZ1","PGC","CEACAM6","SOX2","MAGEA4","SOX2OT"
"47",2,12.9692,11.0804,10.5148,12.2281,12.0631,6.9047,6.117,9.1346,9.7769,10.1836,12.6113,9.1115,7.0478,7.0117,10.8527,6.8984,12.5629,12.2689,8.8119,4.0909,11.1685,8.2554,11.5946,9.0146,7.675,9.0064,4.8972,8.6515,10.2356,5.2415,10.6933,6.9755,9.0482,6.7356,11.1339,12.9872,6.2757,7.516,7.5901,10.9946,6.9449,5.7853,11.8127,8.2008,10.3099,6.2582,8.093,10.6582,8.3631,10.3193
"48",2,12.7726,11.7841,11.9214,10.285,11.2718,6.3228,5.5523,9.9941,12.3424,10.9039,11.2121,9.4268,10.4101,9.8988,11.1139,8.7305,13.0343,12.3499,8.8732,9.0794,8.3891,9.0915,8.8169,8.7676,10.0297,9.7755,6.3398,8.5562,10.3383,3.4281,10.5126,6.7179,8.2582,6.0691,11.826,9.8367,6.3636,8.0318,9.0231,10.3494,7.9751,6.602,11.83,8.9531,10.075,5.7618,10.3902,10.9335,8.6767,8.3179
"49",2,11.7716,11.8761,11.5292,11.4965,12.0953,3.171,3.6123,10.0884,12.3169,10.1413,8.415,10.0491,9.9331,9.2637,10.3248,9.5252,11.6866,12.5702,11.6405,7.4911,9.6664,9.8446,10.5684,5.5701,10.0694,7.0527,4.5544,4.3732,10.4285,6.3793,11.5051,7.8058,9.9612,6.0238,10.2763,8.5696,7.0117,8.3286,9.4092,10.3688,5.9093,3.701,5.1819,10.8951,8.8252,5.3316,8.0604,10.3507,3.8118,8.0085
"50",2,12.5131,10.2103,11.4024,12.1517,10.0521,4.9807,5.6315,12.4365,3.5257,10.5666,9.2161,10.155,11.1327,10.2691,12.0582,8.5782,11.8691,13.2561,12.4236,10.3827,7.3462,8.8722,8.7447,8.0007,9.2165,9.311,5.4721,5.4556,8.2892,3.2275,11.3574,6.1574,8.5819,5.8418,12.6552,10.6141,9.8133,7.7867,9.2253,10.375,9.0103,4.7675,10.0509,9.3705,10.2738,6.4998,5.0805,9.8845,8.0307,6.0676
"51",2,3.5322,3.6444,3.4654,9.0095,4.6221,7.9051,7.1451,5.5339,3.6387,4.351,4.0137,5.24,4.0375,3.3486,4.8336,2.9777,6.4672,4.2932,5.3244,3.12,3.4193,3.4701,4.4794,9.7102,3.6893,3.377,4.1514,7.1928,4.4209,9.2335,4.0874,8.4643,3.2388,7.3716,5.5046,5.5116,3.3479,3.2535,4.7158,7.8478,2.9232,6.632,11.876,4.7413,3.281,7.4857,7.6601,8.5502,3.2529,3.4679
"52",2,11.5711,9.6066,10.1836,11.8861,10.375,3.3908,3.7738,9.4117,11.4508,8.9563,8.2123,8.0491,11.4167,10.5434,10.9091,7.4309,11.6784,8.2507,9.5529,10.493,8.57,8.9607,9.8811,6.1696,8.3942,5.3066,4.3149,5.3791,9.3048,3.1685,6.9667,4.7535,4.6631,5.1976,13.3229,8.4056,10.4387,7.2281,8.5137,10.1564,7.1018,4.1637,8.6911,3.6988,9.4162,5.3577,7.2635,9.1676,8.9821,6.1971
"53",2,4.4908,4.3988,5.189,11.4723,4.6123,7.9635,8.1484,8.654,3.6574,6.841,6.2796,8.0145,6.8757,7.5469,9.5505,3.1364,7.1752,6.5067,7.0626,5.4937,6.4148,9.3914,8.8647,10.4678,3.9669,8.5696,5.7633,9.0117,4.2119,4.9868,5.4488,8.3914,4.7157,8.1013,11.1275,8.9395,7.7002,4.0395,5.9785,9.779,5.821,7.9379,12.7815,4.198,5.2361,7.6232,8.7725,6.5326,8.5226,3.1301
"54",2,12.832,11.19,11.5801,12.4333,10.9733,5.2325,4.2291,12.9919,12.0472,10.7875,11.0484,9.7056,11.3762,10.2465,9.5207,9.6121,12.0638,13.2595,11.4937,10.7694,11.2936,9.0746,11.141,6.9366,11.4714,9.1115,4.0567,7.7897,4.6559,5.3142,10.9217,6.6905,8.434,6.7632,12.758,12.6189,8.5239,8.6943,10.3727,10.0722,6.6198,4.5632,11.5022,10.046,9.8759,5.0553,8.5874,9.837,6.7993,8.1504
"55",2,12.5397,12.7813,11.5603,12.0238,12.3394,3.1053,3.7559,5.8383,10.5013,10.1447,7.9317,8.8471,7.4935,7.4006,11.6318,9.756,12.4242,8.9685,7.9849,3.4841,8.8813,9.6071,9.0094,5.6764,9.0635,9.7603,4.9723,3.3811,4.375,5.986,11.3794,4.4841,8.5995,5.1079,9.8144,10.8601,8.5753,8.0074,8.5379,11.2047,7.3792,3.7006,7.0035,8.4852,8.7174,5.0061,8.9409,11.5816,5.3285,10.108
"56",2,8.5715,8.6975,9.1786,12.3602,5.4243,6.4188,6.0698,4.3037,11.3534,6.257,6.6619,8.2647,4.301,10.6469,9.5333,3.6435,9.3261,9.3811,7.3129,3.1176,3.7745,8.692,8.2054,8.8611,7.4877,5.8292,5.3157,7.5889,8.7606,7.9579,6.2084,6.8615,6.4624,6.6796,12.5382,11.8525,10.6965,4.3021,5.7845,9.6013,3.0991,6.0484,11.594,4.4756,10.9394,5.6018,8.2298,9.1256,3.3487,4.0689
"57",2,12.4381,12.542,11.4882,12.9255,12.6298,8.2601,7.0948,11.1758,11.2333,10.7115,13.14,9.4468,13.0194,11.0299,10.4153,9.4501,12.3443,11.3902,9.6647,12.2413,11.4686,7.4643,11.245,9.6498,8.5352,9.5735,7.0727,9.3199,6.6084,7.0166,5.9137,7.9111,8.0102,7.2602,13.0265,11.6841,10.1564,10.5865,10.8657,10.3197,7.8792,8.4943,12.5848,4.3127,8.6713,6.5775,10.2957,8.1815,6.4207,3.1377
"58",2,12.9904,11.2557,11.1995,12.8813,9.3426,7.477,6.9245,10.5119,12.7523,11.2588,13.6374,10.0975,10.444,10.8511,9.5376,8.6151,12.0204,12.1313,10.2093,6.1909,7.72,9.5291,11.796,8.4309,10.3427,8.5356,4.4276,6.1164,12.0907,3.0086,10.2611,7.3699,8.4453,6.3684,11.7399,11.3501,10.1849,6.0064,10.8406,10.3275,7.9488,5.3461,11.209,8.6792,7.2406,9.108,8.1981,9.158,8.0435,5.2127
